user_name,review_text,rating,label
Amber Thibeault,Andrea is amazing. Our dog loves her and she always looks amazing after Andrea works her magic!,5,Irrelevant
Esther,"Andrea does a wonderful  job  with our wild Princess. Thank  you Andrea, you are the best.",5,Irrelevant
Bob Barrett,Never called back,1,Rant
Luz Quiles,They don't answer the phones,3,Rant
Tim Sanderson,Limited information on the website,3,Irrelevant
Ellen Nastir,Leigh-Ann is an incredibly creative facilitator and genuinely cares about those in her community. She offers her expertise freely and always shares ideas you can modify to fit the needs of your team. I enjoy her giving spirit and she is the real deal!,5,Valid
Jinnie Lee Schmid,"Leigh Ann Rodgers is THE undisputed expert in team and individual performance. She's excellent when she's personally delivering team-building workshops and when coaching individual employees, mid-managers and executives. And, she's also amazing at equipping other professionals to do that work inside their own organizations, through her Better Teams Academy and Forward community. On top of all her expertise, she's also highly personable and committed to excellence and integrity. I've known and worked with her for years, and hired her myself in recent years - and I highly recommend her to anyone who is seeking this kind of service and support.",5,Valid
Wanda Walker,"Leigh Ann Rodgers is a great collaborator and a stellar facilitator/consultant. She can adapt to new projects, work cultures and colleagues easily. The Better Teams Assessment is one of the best team building tools I've used in my consulting business.",5,Valid
Heather Clarke,I really appreciate all the wisdom and experience Leigh Ann Rodgers has distilled and presented in the Team Consultant Academy course and the tools and network in Forward.  Great resource!,5,Valid
Cheryle Maurer,Leigh Ann’s masterful facilitation and engagement strategies bring teams together to produce results. Her experience and stories make her relatable and a joy to work with.,5,Valid
Linda Howard,I strongly recommend Better Teams and Leigh Ann Rodgers for any organization looking for a strong facilitator to help improve the cohesiveness and collaboration of a team. I've worked with her directly and have seen how she brings energy and a positive outlook to those working with her.,5,Ad
Website Doctorz,Leigh Ann Rodgers is the best ever business consultant I talked with. Highly recommended.,5,Ad
SuKhi WebsiteDoctorz,Highly Recommended. Increase Engagement in Online Meetings.,5,Ad
Derrick Phillips,Three years ago I had a car accident and I needed immediate help to cover lost wages. Fast Funds swooped in to the rescue and advanced me money to survive. It is 3 years later now my case is settled and Fast Funds got their money back. I must say that 3 years without worrying about making a loan payment or getting collection calls is well worth the fee. I absolutely love what they did to help and would recommend them to anyone waiting on the evil insurance companies to make things whole again.,5,Valid
It's For Sale Main Account,"I wish I could give Jason and Fast Funds 10 stars for the Open & Honest way he conducted business with me.  The level of service was Exceptional.

There are many businesses designed to help people when they are in a less-than advantageous position.  Often, as customers in need of funds to sustain our living expenses we are desperate and have exhausted our resources leaving us few places to turn to and no power in the business relationship.

A businessman who suffered 3 heart failures over the last 18 months and the loss of my career as a result, this certainly was the case with me.

As a company, Fast Funds clearly understands their clientele and how to do this business right.

Design your business model in such a way that you are able to charge reasonable rates to your clients and still conduct business in a fair, ethical manner.

Hire good people with a high level of personal integrity and treat them with the same respect you insist they treat their clients with.  Pay them a wage sufficient to attract and keep quality employees and operate under a system that allows them to keep their integrity intact.

Jason was clear about the cost of the advance from the beginning.  The fee structure is easy to understand and there are no hidden charges or complicated scenarios to confuse the client.

As mentioned, the level of service was superb.  Highlighted by Jason's willingness to be helpful, answer questions, sometimes a little after hours.  He was clear about the process and what to expect without any hesitation that he may be held accountable for the statements he made.

I have been the owner of a service company with 30 employees and the manager of many others.  My name is Tom Hansen and I received my lawsuit advance December 17th, 2019.  My glowing review was earned each step of the way by Jason and the good people at Fast Funds of Hollywood, Florida.",5,Valid
Robert White,"I got over 12k $ from "" Fast Funds"" .

Jason,  worked quickly , and often wired my money on the same exact day.

These guys saved my but, twice !!!!

The charges were also much lower than the industry standard.

5 stars . Great service and a great product if you need it . 👍",5,Ad
Mary D. Globally,I sent friends to them recently  Bruce & Jason were very attentive and a great help . I highly recommend them!!.,5,Ad
Yvette Demick,I was so pleased with the way Jason took care of everything and went out of his way to make sure I was taken care off...i was able to handle my family emergency right away  and I will be forever grateful for all the help and efficiiency....Thank you Jason ....it was truly a pleasure doing business with your company....i wish u the best....,5,Valid
Anita Bradshaw,Fast Funds is a great place to do your lawsuit loan from very professional  and caring team of worker especially Mr. Jason .If you ever need any help please call them first you want be dissatisfied.,5,Ad
